id,city,mesoregion,state_abbreviation,state,region,city_padr
1100015,Alta Floresta D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,ALTA FLORESTA D OESTE
1100023,Ariquemes,Leste Rondoniense,RO,Rondônia,Norte,ARIQUEMES
1100031,Cabixi,Leste Rondoniense,RO,Rondônia,Norte,CABIXI
1100049,Cacoal,Leste Rondoniense,RO,Rondônia,Norte,CACOAL
1100056,Cerejeiras,Leste Rondoniense,RO,Rondônia,Norte,CEREJEIRAS
1100064,Colorado do Oeste,Leste Rondoniense,RO,Rondônia,Norte,COLORADO DO OESTE
1100072,Corumbiara,Leste Rondoniense,RO,Rondônia,Norte,CORUMBIARA
1100080,Costa Marques,Madeira-Guaporé,RO,Rondônia,Norte,COSTA MARQUES
1100098,Espigão D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,ESPIGAO D OESTE
1100106,Guajará-Mirim,Madeira-Guaporé,RO,Rondônia,Norte,GUAJARA MIRIM
1100114,Jaru,Leste Rondoniense,RO,Rondônia,Norte,JARU
1100122,Ji-Paraná,Leste Rondoniense,RO,Rondônia,Norte,JI PARANA
1100130,Machadinho D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,MACHADINHO D OESTE
1100148,Nova Brasilândia D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,NOVA BRASILANDIA D OESTE
1100155,Ouro Preto do Oeste,Leste Rondoniense,RO,Rondônia,Norte,OURO PRETO DO OESTE
1100189,Pimenta Bueno,Leste Rondoniense,RO,Rondônia,Norte,PIMENTA BUENO
1100205,Porto Velho,Madeira-Guaporé,RO,Rondônia,Norte,PORTO VELHO
1100254,Presidente Médici,Leste Rondoniense,RO,Rondônia,Norte,PRESIDENTE MEDICI
1100262,Rio Crespo,Leste Rondoniense,RO,Rondônia,Norte,RIO CRESPO
1100288,Rolim de Moura,Leste Rondoniense,RO,Rondônia,Norte,ROLIM DE MOURA
1100296,Santa Luzia D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,SANTA LUZIA D OESTE
1100304,Vilhena,Leste Rondoniense,RO,Rondônia,Norte,VILHENA
1100320,São Miguel do Guaporé,Leste Rondoniense,RO,Rondônia,Norte,SAO MIGUEL DO GUAPORE
1100338,Nova Mamoré,Madeira-Guaporé,RO,Rondônia,Norte,NOVA MAMORE
1100346,Alvorada D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,ALVORADA D OESTE
1100379,Alto Alegre dos Parecis,Leste Rondoniense,RO,Rondônia,Norte,ALTO ALEGRE DOS PARECIS
1100403,Alto Paraíso,Leste Rondoniense,RO,Rondônia,Norte,ALTO PARAISO
1100452,Buritis,Madeira-Guaporé,RO,Rondônia,Norte,BURITIS
1100502,Novo Horizonte do Oeste,Leste Rondoniense,RO,Rondônia,Norte,NOVO HORIZONTE DO OESTE
1100601,Cacaulândia,Leste Rondoniense,RO,Rondônia,Norte,CACAULANDIA
1100700,Campo Novo de Rondônia,Madeira-Guaporé,RO,Rondônia,Norte,CAMPO NOVO DE RONDONIA
1100809,Candeias do Jamari,Madeira-Guaporé,RO,Rondônia,Norte,CANDEIAS DO JAMARI
1100908,Castanheiras,Leste Rondoniense,RO,Rondônia,Norte,CASTANHEIRAS
1100924,Chupinguaia,Leste Rondoniense,RO,Rondônia,Norte,CHUPINGUAIA
1100940,Cujubim,Madeira-Guaporé,RO,Rondônia,Norte,CUJUBIM
1101005,Governador Jorge Teixeira,Leste Rondoniense,RO,Rondônia,Norte,GOVERNADOR JORGE TEIXEIRA
1101104,Itapuã do Oeste,Madeira-Guaporé,RO,Rondônia,Norte,ITAPUA DO OESTE
1101203,Ministro Andreazza,Leste Rondoniense,RO,Rondônia,Norte,MINISTRO ANDREAZZA
1101302,Mirante da Serra,Leste Rondoniense,RO,Rondônia,Norte,MIRANTE DA SERRA
1101401,Monte Negro,Leste Rondoniense,RO,Rondônia,Norte,MONTE NEGRO
1101435,Nova União,Leste Rondoniense,RO,Rondônia,Norte,NOVA UNIAO
1101450,Parecis,Leste Rondoniense,RO,Rondônia,Norte,PARECIS
1101468,Pimenteiras do Oeste,Leste Rondoniense,RO,Rondônia,Norte,PIMENTEIRAS DO OESTE
1101476,Primavera de Rondônia,Leste Rondoniense,RO,Rondônia,Norte,PRIMAVERA DE RONDONIA
1101484,São Felipe D'Oeste,Leste Rondoniense,RO,Rondônia,Norte,SAO FELIPE D OESTE
1101492,São Francisco do Guaporé,Madeira-Guaporé,RO,Rondônia,Norte,SAO FRANCISCO DO GUAPORE
1101500,Seringueiras,Leste Rondoniense,RO,Rondônia,Norte,SERINGUEIRAS
1101559,Teixeirópolis,Leste Rondoniense,RO,Rondônia,Norte,TEIXEIROPOLIS
1101609,Theobroma,Leste Rondoniense,RO,Rondônia,Norte,THEOBROMA
1101708,Urupá,Leste Rondoniense,RO,Rondônia,Norte,URUPA
1101757,Vale do Anari,Leste Rondoniense,RO,Rondônia,Norte,VALE DO ANARI
1101807,Vale do Paraíso,Leste Rondoniense,RO,Rondônia,Norte,VALE DO PARAISO
1200013,Acrelândia,Vale do Acre,AC,Acre,Norte,ACRELANDIA
1200054,Assis Brasil,Vale do Acre,AC,Acre,Norte,ASSIS BRASIL
1200104,Brasiléia,Vale do Acre,AC,Acre,Norte,BRASILEIA
1200138,Bujari,Vale do Acre,AC,Acre,Norte,BUJARI
1200179,Capixaba,Vale do Acre,AC,Acre,Norte,CAPIXABA
1200203,Cruzeiro do Sul,Vale do Juruá,AC,Acre,Norte,CRUZEIRO DO SUL
1200252,Epitaciolândia,Vale do Acre,AC,Acre,Norte,EPITACIOLANDIA
1200302,Feijó,Vale do Juruá,AC,Acre,Norte,FEIJO
1200328,Jordão,Vale do Juruá,AC,Acre,Norte,JORDAO
1200336,Mâncio Lima,Vale do Juruá,AC,Acre,Norte,MANCIO LIMA
1200344,Manoel Urbano,Vale do Acre,AC,Acre,Norte,MANOEL URBANO
1200351,Marechal Thaumaturgo,Vale do Juruá,AC,Acre,Norte,MARECHAL THAUMATURGO
1200385,Plácido de Castro,Vale do Acre,AC,Acre,Norte,PLACIDO DE CASTRO
1200393,Porto Walter,Vale do Juruá,AC,Acre,Norte,PORTO WALTER
1200401,Rio Branco,Vale do Acre,AC,Acre,Norte,RIO BRANCO
1200427,Rodrigues Alves,Vale do Juruá,AC,Acre,Norte,RODRIGUES ALVES
1200435,Santa Rosa do Purus,Vale do Acre,AC,Acre,Norte,SANTA ROSA DO PURUS
1200450,Senador Guiomard,Vale do Acre,AC,Acre,Norte,SENADOR GUIOMARD
1200500,Sena Madureira,Vale do Acre,AC,Acre,Norte,SENA MADUREIRA
1200609,Tarauacá,Vale do Juruá,AC,Acre,Norte,TARAUACA
1200708,Xapuri,Vale do Acre,AC,Acre,Norte,XAPURI
1200807,Porto Acre,Vale do Acre,AC,Acre,Norte,PORTO ACRE
1300029,Alvarães,Centro Amazonense,AM,Amazonas,Norte,ALVARAES
1300060,Amaturá,Sudoeste Amazonense,AM,Amazonas,Norte,AMATURA
1300086,Anamã,Centro Amazonense,AM,Amazonas,Norte,ANAMA
1300102,Anori,Centro Amazonense,AM,Amazonas,Norte,ANORI
1300144,Apuí,Sul Amazonense,AM,Amazonas,Norte,APUI
1300201,Atalaia do Norte,Sudoeste Amazonense,AM,Amazonas,Norte,ATALAIA DO NORTE
1300300,Autazes,Centro Amazonense,AM,Amazonas,Norte,AUTAZES
1300409,Barcelos,Norte Amazonense,AM,Amazonas,Norte,BARCELOS
1300508,Barreirinha,Centro Amazonense,AM,Amazonas,Norte,BARREIRINHA
1300607,Benjamin Constant,Sudoeste Amazonense,AM,Amazonas,Norte,BENJAMIN CONSTANT
1300631,Beruri,Centro Amazonense,AM,Amazonas,Norte,BERURI
1300680,Boa Vista do Ramos,Centro Amazonense,AM,Amazonas,Norte,BOA VISTA DO RAMOS
